"equation_id","report_label","topic","equation_summary","provenance_class","source_ids","implementation_paths","implementation_symbols","audit_method","status"
"EQ-001","Parity regression","European parity","C(K,T)-P(K,T)=alpha(T)+beta(T)K","literature_specialization","SRC-001","src/volsurf/core/carry.py","fit_european_parity","Synthetic exact-parity regression and public claim CLM-MATH-001","verified"
"EQ-002","Parity carry recovery","European parity","D(T)=-beta(T); F(T)=alpha(T)/D(T); r(T)=-log(D(T))/T","project_coordinate_recovery","SRC-001","src/volsurf/core/carry.py","fit_european_parity","Sign and recovery checks in CLM-MATH-001","verified"
"EQ-003","Cash-dividend forward","Carry curves","PV_div(T)=sum_i D(t_i)D_i; F(T)=(S-PV_div(T))/D(T); q(T)=r(T)-log(F(T)/S)/T","model_policy","SRC-003;SRC-006;SRC-025","src/volsurf/core/curves.py;src/volsurf/core/carry.py","ZeroRateCurve;CashDividendSchedule;auxiliary_cash_dividend_carry","Synthetic curve and dividend unit tests","verified"
"EQ-004","Forward coordinates","Surface coordinates","k=log(K/F(T)); w(k,T)=sigma(k,T)^2 T","literature_definition","SRC-009","src/volsurf/surfaces/svi.py;src/volsurf/surfaces/grid.py","svi_total_variance;build_surface_grid","Formula evaluation and positive-coordinate tests","verified"
"EQ-005","Black forward value","European valuation","V=D omega[F N(omega d1)-K N(omega d2)] with d1=(log(F/K)+sigma^2 T/2)/(sigma sqrt(T))","literature_formula","SRC-002;SRC-004","src/volsurf/core/black.py;cpp/src/pricing.cpp","black_forward_price;black_scholes","Black round trip parity and C++ black suite","verified"
"EQ-006","Style-correct bounds","Price bounds","European bounds use discounted forward intrinsic; American bounds use immediate exercise intrinsic","no_arbitrage_policy","SRC-001;SRC-002;SRC-017","src/volsurf/core/black.py","european_price_bounds;american_price_bounds","Bound unit tests and closing intrinsic-failure claims","verified"
"EQ-007","Implied-volatility root","Root finding","Find sigma such that V_model(sigma)-V_market=0 on an explicit expanding bracket","numerical_method","SRC-005","src/volsurf/core/implied_vol.py","solve_monotone_volatility;implied_volatility","Synthetic Black round trip and inspected solver defaults in CLM-MATH-002","verified"
"EQ-008","Raw SVI slice","SVI","w(k)=a+b[rho(k-m)+sqrt((k-m)^2+sigma_svi^2)]","literature_formula","SRC-009","src/volsurf/surfaces/svi.py","SVIParameters;svi_total_variance","Direct formula check in CLM-MATH-003","verified"
"EQ-009","SVI butterfly function","Static arbitrage","g(k)=(1-kw'/(2w))^2-(w'^2/4)(1/w+1/4)+w''/2","literature_formula","SRC-008;SRC-009","src/volsurf/surfaces/svi.py","svi_first_derivative;svi_second_derivative;butterfly_g_from_values;svi_butterfly_g","Analytic/finite-difference diagnostics tests","verified"
"EQ-010","Jacobian-consistent weight","Objective geometry","lambda_i proportional to [vega_i/(2 sigma_i T_i h_i)]^2","project_derived_linearization","SRC-004","src/volsurf/surfaces/svi.py","jacobian_consistent_weights","Finite-difference confirmation in CLM-MATH-004 and objective-geometry table","verified"
"EQ-011","Bounded SVI objective","Calibration","min_theta sum_i lambda_i[w(k_i;theta)-w_i]^2 over bounded raw-SVI parameters","implementation_policy","SRC-009;SRC-012","src/volsurf/surfaces/svi.py","calibrate_svi_slice","Multistart deterministic unit tests and fit diagnostics","verified"
"EQ-012","Calendar isotonic projection","Grid repair","For each strike column project total variance onto the nondecreasing maturity cone","numerical_projection","SRC-007","src/volsurf/surfaces/repair.py","isotonic_increasing;repair_calendar","Synthetic violating-grid test and repair figure","verified"
"EQ-013","Discrete butterfly proxy","Grid diagnostics","Use finite-difference w' and w'' in the SVI density proxy and require g_j above tolerance","project_discretization","SRC-008;SRC-009","src/volsurf/surfaces/diagnostics.py","finite_difference_derivatives;discrete_butterfly_g;diagnose_surface_grid","Synthetic proxy violation and post-repair diagnostics","verified"
"EQ-014","Alternating repair projection","Grid repair","Alternate calendar PAVA and constrained row projection while minimizing squared grid displacement","project_algorithm","SRC-007;SRC-013","src/volsurf/surfaces/repair.py","repair_butterfly_row;repair_surface_grid","Convergence flag, final diagnostics, and failed-repair semantics tests","verified"
"EQ-015","eSSVI slice","Alternative surfaces","w(k)=theta/2[1+rho psi k+sqrt((psi k+rho)^2+1-rho^2)]","literature_formula","SRC-009;SRC-010","src/volsurf/research/essvi.py","ESSVIParameters;essvi_total_variance;fit_essvi_slice","Sufficient-condition tests and repaired-vs-repaired gate table","verified_research_only"
"EQ-016","Direct-price residual","Alternative objectives","Minimize Huber-scaled price residuals plus parameter proximity and shape penalties","project_research_objective","SRC-013;SRC-014","src/volsurf/research/direct_price.py","fit_svi_direct_price","Research tests and rejection evidence EXP-012","verified_research_only"
"EQ-017","European implied repo","Repo inference","F=K+(C-P)/D; q=r-log(F/S)/T","parity_specialization","SRC-001","src/volsurf/research/vol_matching_repo.py","european_implied_repo","Synthetic parity repo recovery test","verified_research_only"
"EQ-018","American volatility-matching repo","Repo inference","Find q such that sigma_call^A(q)-sigma_put^A(q)=0 with nested bracketed American-IV roots","project_research_formulation","SRC-005;SRC-017;SRC-023","src/volsurf/research/vol_matching_repo.py","fit_american_volatility_matching_repo;_american_iv","Nested-root tests, provenance checks, and exact-support benchmark","verified_research_only"
"EQ-019","Local-linear carry smoother","Repo smoothing","At each maturity fit weighted local intercept and slope with Gaussian weights in log-forward coordinates","literature_method_application","SRC-015","src/volsurf/research/vol_matching_repo.py","smooth_log_forward_curve","Synthetic trend recovery and packaged exact-support comparison","verified_research_only"
"EQ-020","CRR transition","Binomial pricing","u=exp(sigma sqrt(dt)); d=1/u; p=[exp((r-q)dt)-d]/(u-d); continuation=exp(-r dt)[pV_u+(1-p)V_d]","literature_formula","SRC-017","src/volsurf/pricing/engines.py;cpp/src/pricing.cpp","price_crr;cox_ross_rubinstein","Python/C++ convergence, probability guards, and invariants","verified"
"EQ-021","Leisen-Reimer transition","Binomial pricing","Use Peizer-Pratt inversion with odd effective steps to center terminal strike probability","literature_formula","SRC-018","cpp/src/pricing.cpp","peizer_pratt_method2;leisen_reimer","Odd-step promotion and Black convergence CTest suite","verified"
"EQ-022","Black-Scholes PDE operator","Finite differences","L V=(sigma^2 S^2/2)V_SS+(r-q)S V_S-rV","literature_formula","SRC-002;SRC-022","cpp/src/pricing.cpp","build_theta_matrix;build_theta_rhs;finite_difference","Coefficient audit and European convergence tests","verified"
"EQ-023","Theta time step","Finite differences","[I-theta dt L]V^n=[I+(1-theta)dt L]V^(n+1) with theta=1 or 1/2","numerical_method","SRC-019;SRC-022","cpp/src/pricing.cpp","build_theta_matrix;build_theta_rhs;finite_difference","Implicit and Crank-Nicolson CTest suites","verified"
"EQ-024","American complementarity problem","American finite differences","V-payoff>=0; -(V_t+LV)>=0; (V-payoff)[-(V_t+LV)]=0 solved by PSOR","literature_method_application","SRC-021;SRC-022","cpp/src/pricing.cpp","projected_sor;finite_difference","American invariants, convergence ladder, and solver failure semantics","verified"
"EQ-025","Rannacher startup","Finite differences","Replace the first configured Crank-Nicolson intervals by implicit half steps before theta=1/2 stepping","literature_method_application","SRC-020","cpp/src/pricing.cpp","finite_difference","Configuration inspection and convergence evidence","verified"
"EQ-026","Early-exercise premium identity","American valuation","EEP=V_A-V_E and V_A=V_E+EEP under matched non-exercise inputs","literature_decomposition_numerical_implementation","SRC-023;SRC-024","src/volsurf/pricing/early_exercise.py","decompose_early_exercise;EarlyExerciseDecomposition.identity_residual","Matched CRR identity and nonnegativity in CLM-MATH-005","verified"
"EQ-027","Pricing error summaries","Evaluation","RMSE=sqrt(sum_i e_i^2/n); MAE=sum_i |e_i|/n","standard_statistic","","src/volsurf/pricing/book.py;src/volsurf/research/audits/paired.py","summarize_pricing_book;rmse","Independent sufficient-statistic recombination in public claims","verified"
"EQ-028","Paired candidate delta","Experimental governance","Delta_j=RMSE_control,j-RMSE_candidate,j on identical context and support","project_governance_statistic","SRC-016","src/volsurf/research/audits/paired.py;src/volsurf/pipeline/benchmark.py","paired_comparison;_paired","Paired bootstrap and common-context tests","verified"
"EQ-029","Common-support ratio","Experimental fairness","R=|Q_control intersection Q_candidate|/min(|Q_control|,|Q_candidate|)","project_governance_statistic","","src/volsurf/research/audits/support.py;tools/curate_private_evidence.py","support_attribution;exact private support join","Private exact join plus sanitized aggregate validation","verified"
"EQ-030","Guarded weekly refinement","Localized refinement","Minimize spread-scaled Black price residuals plus parameter proximity, then accept only if all predeclared no-harm guards pass","project_promoted_policy","SRC-004;SRC-012","src/volsurf/surfaces/weekly_refinement.py","refine_weekly_slice;WeeklyRefinementSettings","Frozen August, November transfer, and full-chain public claims","verified_narrow_policy"
