method,metric,estimate,lower,upper,confidence,samples,block_length,seed
130_30_mathematical_appendix,annualized_return,0.00690246576682596,-0.08786099217964481,0.1295285411198514,0.95,200,6,20260713
130_30_mathematical_appendix,annualized_volatility,0.11788491055448162,0.09948346490547741,0.1286204719699347,0.95,200,6,20260713
130_30_mathematical_appendix,sharpe,0.09952612251862887,-0.7192768574113703,1.24113525585356,0.95,200,6,20260713
130_30_mathematical_appendix,maximum_drawdown,-0.23589813662205705,-0.5025524917684245,-0.12109106046722729,0.95,200,6,20260713
benchmark_relative_constrained,annualized_return,0.05930179845080352,-0.029488547433771734,0.1747145049719799,0.95,200,6,20260713
benchmark_relative_constrained,annualized_volatility,0.11895645728773688,0.10497247491422187,0.12782981805856516,0.95,200,6,20260713
benchmark_relative_constrained,sharpe,0.5272166442706268,-0.2277238962896118,1.499548908240773,0.95,200,6,20260713
benchmark_relative_constrained,maximum_drawdown,-0.2104558356775702,-0.3839170293610492,-0.09463993070220297,0.95,200,6,20260713
equal_weight,annualized_return,0.06228892410663711,-0.020542363204670344,0.18193429837437156,0.95,200,6,20260713
equal_weight,annualized_volatility,0.1303427072940486,0.11869822917084752,0.13866215328655923,0.95,200,6,20260713
equal_weight,sharpe,0.5136993634222476,-0.11211414266636197,1.4227827510243378,0.95,200,6,20260713
equal_weight,maximum_drawdown,-0.2378337596482467,-0.4021525559476566,-0.10469208304389466,0.95,200,6,20260713
exact_cardinality_cvar,annualized_return,0.03071040629648203,-0.06843625043291846,0.14026818820929451,0.95,200,6,20260713
exact_cardinality_cvar,annualized_volatility,0.1171616152585018,0.10136984491850477,0.13146370776032332,0.95,200,6,20260713
exact_cardinality_cvar,sharpe,0.2990427522794854,-0.5602954456814846,1.2384008615487334,0.95,200,6,20260713
exact_cardinality_cvar,maximum_drawdown,-0.2488440892202457,-0.4525367940350928,-0.09290483039475517,0.95,200,6,20260713
global_minimum_variance,annualized_return,0.043106789853508465,-0.054727239508365916,0.15526300554953718,0.95,200,6,20260713
global_minimum_variance,annualized_volatility,0.11295628185508587,0.09728952167408982,0.12548767477479014,0.95,200,6,20260713
global_minimum_variance,sharpe,0.4119461993100697,-0.4516883145854507,1.3189775242457082,0.95,200,6,20260713
global_minimum_variance,maximum_drawdown,-0.24244109999213237,-0.40056179900044186,-0.08781601780664555,0.95,200,6,20260713
historical_joint_cvar,annualized_return,0.030420882319689202,-0.07302475740916145,0.14866678995411212,0.95,200,6,20260713
historical_joint_cvar,annualized_volatility,0.11802103678234517,0.103941892966027,0.1324802073508207,0.95,200,6,20260713
historical_joint_cvar,sharpe,0.29532981430367594,-0.6147683111841843,1.2348908758191763,0.95,200,6,20260713
historical_joint_cvar,maximum_drawdown,-0.26531176716659066,-0.4602306686690218,-0.08866208876991455,0.95,200,6,20260713
maximum_sharpe_with_gmv_fallback,annualized_return,0.0461896954936849,-0.04308575046343946,0.16924779083696967,0.95,200,6,20260713
maximum_sharpe_with_gmv_fallback,annualized_volatility,0.11719783579223933,0.10396139633045577,0.12755688463050247,0.95,200,6,20260713
maximum_sharpe_with_gmv_fallback,sharpe,0.42668923264044245,-0.3292058812740967,1.4672648080585933,0.95,200,6,20260713
maximum_sharpe_with_gmv_fallback,maximum_drawdown,-0.2296251114329837,-0.42192137515155226,-0.0956129750549656,0.95,200,6,20260713
shrinkage_mean_variance,annualized_return,0.06035507688902175,-0.03746682696835293,0.17635822216505873,0.95,200,6,20260713
shrinkage_mean_variance,annualized_volatility,0.11591218362799088,0.10147065826588988,0.12549548278288095,0.95,200,6,20260713
shrinkage_mean_variance,sharpe,0.5465663403072333,-0.29313030327102496,1.528238471400905,0.95,200,6,20260713
shrinkage_mean_variance,maximum_drawdown,-0.23193237201553918,-0.3941882504057847,-0.08641667090276912,0.95,200,6,20260713
